ObjID,q_au,e,i_deg,argperi_deg,node_deg,tp_mjd,epoch_mjd,H_mag,a_au,M_deg
I00000,0.9346171379884184,0.3895326794095313,7.566861357949266,38.66627303305196,179.34855525994243,66264.30470146648,66202.91220580554,24.931599051023323,1.5309863549852576,328.05797964887734
I00001,0.9125315468414172,0.3841166640887326,2.1597232256169803,42.129078921761604,100.19335181650827,61804.80697714385,61741.401768986136,24.999606842888358,1.481662993026473,325.34987099452826
I00002,0.8676492513962372,0.09298572306135865,15.634938862271255,225.73585788385364,251.68582512123703,63241.74420855354,62989.86858265847,24.96677474326819,0.9565993319584019,94.66465437008878
I00003,0.9803020879510772,0.6454041054450625,34.23444883685873,338.8162670022895,347.50260746689463,64564.318086652595,64550.87758333795,24.998410549502168,2.764561302046319,357.1180909593566
I00004,0.259627599479878,0.6051897273788432,4.754471135236431,167.17731145750275,290.2897847502658,60944.22220318081,60838.79582554242,24.955862876736067,0.6576009224790503,165.14581490588978
I00005,0.98365770653899,0.4325266511756645,4.450125108830237,5.12543912622952,128.48187477300706,63629.79965376174,63595.52372706169,24.959473208429984,1.7333989491786452,345.1971449722603
I00006,0.4893246473666471,0.6343876719347437,0.9086995763471053,107.09962415142384,133.95972365327026,64777.41796440458,64696.53924952028,24.979805494380756,1.3383702074709853,308.5158051793827
I00007,0.7157257204929293,0.6218650982519122,10.955610348964763,76.72885508778904,302.71386343673385,60564.26303454751,60486.532906815875,24.949238239710944,1.892778786576393,330.5799324625874
I00008,0.038421632426207344,0.9842751278600509,180.00198320977762,148.53256327065648,280.487516820131,64467.32634705419,63073.85314633604,24.91194226482537,2.4433669211590607,0.4000193726312773
I00009,0.46573276386416124,0.38332295394222854,12.525649549276613,197.2295904835092,293.5042450177829,64302.62567454859,64129.44801568473,24.961840690064147,0.7552296081740822,99.93768364257812
I00010,0.9725383827960865,0.14539893008382146,16.577477386557064,27.677226658736302,64.2212611305736,65414.090118066815,65358.661155550275,24.922503661412478,1.1380027676439435,314.99861851009223
I00011,0.6238253401471071,0.6452577947429528,2.2853810265646564,266.90294497455204,224.8726314933677,63225.82467925665,63148.019721508026,24.934198888526033,1.7585314938634986,327.11588795957823
I00012,0.7848648855345417,0.5487569799730703,3.636127250784995,293.38570076433723,19.36622598877429,66136.95642044854,65313.85104625486,24.912470209372106,1.739339669980273,6.342471306972641
I00013,0.921005480754106,0.4684006646905289,4.529850467685185,316.3040507229303,232.85250541418347,67816.5904466007,66988.1530725034,24.90724972103621,1.7325181195306456,1.9471959141203001
I00014,0.8821305182848692,0.6157018692200569,37.96729279818865,315.3214290377756,162.21274531528715,66723.49940331152,65455.238528572954,24.91312862490143,2.295432758141608,0.5687725306585776
I00015,0.6810486860327887,0.18789224147620634,2.783508916677203,160.92608095240564,117.27217346916844,62637.85866510332,62488.70311286487,24.93289433315144,0.8386186178922398,168.5758406321072
I00016,0.7379802755468126,0.6477426780641607,46.715439249821685,290.9069035186592,146.1684848093165,62881.67192628921,61786.73483641632,24.881365426136178,2.095003367115899,4.109698341943044
I00017,0.48255369838534606,0.8357369638541008,0.8408381917916701,98.79508312276609,321.55179000964716,63867.84271730264,63793.66549573187,24.917347843759117,2.937688902552243,345.48002288121336
I00018,0.8236596106234372,0.6448660972808479,4.7523390134222465,55.02122239940349,51.133496215974354,66873.68547453785,66806.67279768689,24.972632688961937,2.3192931013258,341.3006036925043
I00019,0.7987453500509951,0.4719200972482895,63.32915753206842,294.1377095389951,132.78959233967325,63167.86854812524,62504.032706037164,24.962001328253784,1.5125463890765496,8.276232473248001
I00020,0.8829551315018801,0.08852603747997727,23.027857935789783,117.46395480492342,365.1718107571585,60685.812606976106,60551.152880608104,24.964367736680686,0.9687113047757344,220.79646964036738
I00021,0.8239496134485104,0.22869678841204785,1.1379858942020813,85.17679038410228,33.912547684521535,64329.584122801876,64232.60918045975,24.903277629270306,1.0682564276533613,273.4334056689024
I00022,0.702901036768767,0.7738636109792851,180.02705344373575,77.47511843408381,134.34217019693614,65855.35982144173,65785.39451046428,24.943492208422597,3.1083057433289913,347.41650600018795
I00023,0.9112446275773636,0.48109463725724066,42.87078737652373,45.311144410822045,224.18209188330212,64487.5451972625,64422.3257774408,24.99343030320331,1.7560902102858038,332.3776405629686
I00024,0.9192848166126971,0.4208201431871431,4.7968889551576215,43.49429785482711,195.8434372683628,66284.17096478005,66219.61378331203,24.967493307855975,1.5872182117509899,328.18047603892273
I00025,0.8302662284159354,0.5977400960662028,1.2490588063884611,55.1173968491261,51.64346631824502,60665.659326144116,60597.754062034655,24.878811993893247,2.064004441647205,337.4294794585194
I00026,0.9712527178847232,0.6750650703972139,180.00749507245547,347.13013459811657,227.10534421790743,65248.34350386384,65197.427916273475,24.96151968332462,2.989068362308794,350.28928826227457
I00027,0.2683677378716114,0.799109363467558,5.737664861613876,130.60253332414297,212.19038368177723,66676.09404023358,66601.56827185163,24.999580869261827,1.3358897283810063,312.4276483540474
I00028,0.6536548752420873,0.2246312691191909,3.280720841424626,202.20901678402495,233.9209095764188,61708.16378760311,61510.40368928341,24.979777488985377,0.8430245497513728,108.18452804884328
I00029,0.9458934931676279,0.6092260152598243,3.718323774670687,325.1775746606968,308.73655071004714,67070.57238951312,67067.49792015599,24.88256630716375,2.42056413708438,359.1953642007737
I00030,0.980534119198973,0.5708345750122249,1.7310669902042959,10.905232705584876,62.769445749169755,66856.83836746505,66818.09583598096,24.990468181980294,2.2847463055228734,348.9430564353497
I00031,0.816312090302144,0.3195416608005395,26.83251734085917,286.1479915715437,153.74089039588648,61883.71908006554,61428.98358255671,24.927999592984513,1.1996503581137847,18.90064413404849
I00032,1.0104986921151657,0.4722877092644972,0.5235464038026042,351.90102288347254,251.3218646508372,65934.73050271854,65912.07053305209,24.95876397779041,1.9148666988725542,351.5713973888531
I00033,0.5323214254961327,0.7937829642924528,3.4527985939924437,94.3329397987154,308.87757273587755,64951.63119702912,64876.09687536722,24.91850901488987,2.581364937526597,342.04959312100914
I00034,0.557427271515507,0.7265196202844153,2.984789818308996,265.89170794585925,293.62670766561945,67000.88723768295,65955.93268516148,24.88840412026893,2.0382715282727872,6.077299368544686
I00035,0.977105356115405,0.6167479794470415,3.3418264115988117,14.644784202443418,51.343951506195616,61734.722259600545,61693.29797367379,24.947686773413835,2.5495112973067466,349.97062907360464
I00036,0.7489471434759483,0.5383551380199011,13.856830306898715,75.29741614320514,248.02230948274678,61239.44281183745,61159.7717389632,24.905875462681962,1.6223448047565072,321.99944007296926
I00037,0.7520114905733576,0.5553839454037838,38.44148027311055,70.28222634333547,130.6676729604423,66229.74109178867,66154.50459502544,24.88589802868567,1.6913727761277233,326.28884478810346
I00038,0.9653669499916592,0.4840035153531187,1.0438142515242816,328.29131452694844,306.03012126783574,61955.13512191703,61951.18694096804,24.891533157592036,1.8708789278909554,358.47933833665803
I00039,0.9443062733886421,0.49332230146199846,6.8959517904842444,38.09896342226484,262.91785810497106,63062.10672596859,63001.631774066016,24.971138434802885,1.8637218020714168,336.57346932559506
I00040,0.5982839013016822,0.32810896556402985,11.357547180702753,129.20894872178056,202.65419169087335,60128.319353955485,60017.17116462719,24.965955693574536,0.8904478116811327,229.6251686489312
I00041,0.99386089253644,0.5294193099368991,5.921248939446752,360.36549581798386,172.35490521883455,66956.70072999553,66926.40281501831,24.926465837861663,2.111988259448495,350.2707454310829
I00042,0.9658744436169315,0.49155334736531686,53.94416187487063,26.007515301828995,14.689232616374367,61707.57233399372,61656.58775142161,24.888798770184327,1.899657394953701,340.80756767259413
I00043,0.7380890662181264,0.7259683056561322,34.229763282704724,294.01370080306094,103.67513400619231,62984.60699657934,61379.65428525396,24.994505377852406,2.693444157929914,2.147256761695928
I00044,0.8841156011939861,0.36840475769181047,11.43226600425261,304.01867558495667,204.73081563762636,63532.196352482475,62941.34055420617,24.936659688226197,1.3998135862501926,8.374575774882828
I00045,0.5657638124276195,0.6999514252603499,9.605614771493347,272.3450204333905,337.3119264021337,64066.129753349494,63989.33841419034,24.95391133470293,1.8855740705268424,330.7685122759999
I00046,0.6834114560348935,0.6823462584403408,8.002937989513146,78.35374530829895,231.61807244398895,65967.13314229406,65891.07206810173,24.91910982812075,2.151435247321148,336.24395664188796
I00047,0.9328895358647303,0.46539754532131533,0.2379626574505528,41.183951468437215,225.30794560689213,64486.50029578977,64424.39752441365,24.96947708204055,1.745015436611548,333.4468440905084
I00048,1.0033533483564063,0.29450189678450933,0.32255349385517884,10.995853751031271,218.42531860535058,63725.83583322949,63686.487138515804,24.953234931321365,1.4221914187768374,337.1336248941427
I00049,0.86585028106059,0.14753766357641113,7.01846440603202,95.03369345222099,348.8729351365598,64663.38976721996,64552.28985549696,24.930352015241578,1.0157050277354995,253.02891904049523
I00050,0.38214722098142967,0.5363798348993452,2.2673816642400078,220.97931418231295,73.55116725674962,64512.49597395161,64271.998697527684,24.966559043140666,0.8242679023645642,43.25362468342854
I00051,0.8433958552778188,0.3449210505354384,42.93966619093819,63.60052223495562,111.80167743050409,64022.446713006626,63944.429169597104,24.974044886065876,1.2874720764072496,307.36318322040665
I00052,0.6191170554226019,0.6273458999637626,8.877631229107932,267.85484062066985,265.5868155354795,63996.85726815189,63918.72995669069,24.981465886566337,1.6613719139609573,324.0410785582276
I00053,0.9834293826630492,0.6747678087535085,180.01776729636805,15.788226886822857,112.87002710919563,64690.499794357034,64660.499505447224,24.95157602526781,3.0237762716351595,354.3765216307995
I00054,0.6414273965552395,0.5842245042112237,1.7657743755097828,88.58030754560279,5.273710804796429,66841.81212304022,66760.5761805065,24.908894655895356,1.5427253482997463,318.2150992941695
I00055,0.9842401140080881,0.3791782473388022,26.964345147126934,15.614738342074569,174.09175154746038,60762.049367140666,60718.78660463402,24.94199742810123,1.5853827766006439,338.63921947817425
I00056,0.37253312063543903,0.4987974949993932,28.07567182381706,205.41903600959586,297.8502594102267,63225.52834902067,63038.223935523536,24.94896734653946,0.743278648687097,71.91237814823472
I00057,0.8183455402668023,0.23536488290174273,28.02434080966712,90.82725071332439,313.50008539322664,64617.55166090879,64515.61577574862,24.951368658749125,1.0702432074691688,269.2581870020731
I00058,0.445422177295955,0.7456153998521556,5.71475512114927,108.37966762604175,298.605712832372,61656.049659794204,61578.01719928533,24.981745847132693,1.7509793322279832,326.80613332459563
I00059,0.6324499327349843,0.6693093978473221,8.749156501086468,83.78605870721876,78.93748016073725,62527.06384775042,62451.103502237704,24.91156431698019,1.912512567995464,331.6936052602066
I00060,0.9164147681901736,0.6923751953170955,179.99395797043232,3.5571472415950165,347.78634410807496,66332.11816777065,66331.77713808604,24.97495405125668,2.9790015442181312,359.9346282419306
I00061,0.664577047750731,0.25053343356116775,2.1370920607025696,135.0155949263575,228.93545187288055,66743.46349229406,66618.8962227283,24.98066375635511,0.8867334148186722,212.9657849043174
I00062,0.6694231966041951,0.41352974785724944,7.988720286640371,95.34126597079889,123.2879145827072,66967.39032550764,66877.72939013364,24.994038253396084,1.1414444196587372,287.535519130985
I00063,0.6503002842681603,0.6767366061943407,141.55886402566705,81.02143882720486,138.1789344059369,64410.873209687255,64335.63810039358,24.970585313883344,2.0116731332070046,334.0110635911633
I00064,0.9788296006533365,0.2716489630677641,9.958374092643052,337.6781784784949,30.752754181261658,63874.665746528946,63864.3124278225,24.973123864590548,1.343898135679327,353.45010813922653
I00065,0.9903691532557708,0.3374875717491601,12.997585347007051,340.0181353472982,352.3838324793537,64568.438748619694,64555.89527706476,24.90385174901267,1.49486879192672,353.23578800489247
I00066,0.8178135310820571,0.3858095411054006,41.7124426852829,288.0289827434637,241.98646068108266,65343.80623923393,64806.03768911073,24.88781732794528,1.3315308293032295,15.036905775026355
I00067,0.8283289635245317,0.20346026651192523,5.1115944409458205,89.72895193934811,6.307873722303229,67285.58233329146,66940.42907578079,24.8861528921938,1.0399091579490338,39.208430622251285
I00068,0.7815845251146915,0.3105551979539514,14.158779375017373,84.27714895253361,34.845769761862606,63959.94115880055,63868.419549811166,24.89157432173726,1.1336433646249882,285.26689185221267
I00069,0.8195285858948739,0.15778736406380048,6.838120848247814,247.40028061704112,335.03305466460483,63730.14979692189,63442.256941686384,24.996224782835363,0.973066124784378,64.3884285315192
I00070,0.5323255151500763,0.668377737373481,9.988061192712106,98.45714940829721,129.88264998133917,60753.2463283141,60674.878626252525,24.90592566916943,1.6052164620491545,322.02124018671316
I00071,0.9263180988524781,0.30665121268386014,32.06579397639186,43.48801080464225,157.3987906393135,61133.380949512786,61067.36496001063,24.991360177021022,1.3360059407302507,317.865230038945
I00072,0.8693150876723726,0.5460575007498376,7.305489871710149,53.88478509355039,289.2905484043356,64925.26556138098,64855.56325525278,24.92321860185105,1.91503348796012,334.07691631805574
I00073,0.8142768568108035,0.3421496024426143,1.2182544351061104,286.25122213358486,23.20203993791314,66161.13087266887,65682.90495444369,24.930095307370298,1.2377842437037858,17.729272063401993
I00074,0.7864214399648517,0.6747785868767306,10.585006528847078,297.88621109423707,197.88763682749155,63567.03058657655,62203.85572781321,24.88219265169682,2.418110887633259,2.693165889506929
I00075,0.5103875206341392,0.7385960150725506,0.8315206889257377,98.08747321234709,37.49197851786358,63581.86213722098,63505.642855309416,24.880691435968625,1.9524856163757147,332.4648680536409
I00076,0.42513238130384284,0.4036476094249305,66.47420059500026,168.402310925791,63.580019992325404,62926.063252011976,62801.245339068584,24.890296317077627,0.7128878629863171,155.61493420776833
I00077,0.19451067672028108,0.7268484395698734,4.427975137956455,203.31347036594863,333.0732103590384,65825.65626360607,65631.76840873761,24.97196621173739,0.7120979884353903,41.98687742504899
I00078,0.3917010132735682,0.44741738289103317,58.52393937025575,190.95676088675074,330.4947847324714,66513.97275650372,66359.59097373951,24.886481194975715,0.7088551126035991,105.04477802806412
I00079,0.9016549740914217,0.5129988986001174,2.6533177249604036,318.88244090970124,91.27720843752213,61556.311971929055,60636.91246566735,24.899250164607636,1.8514433981763456,0.29814218386565017
I00080,0.9342306985410219,0.04357405648149017,2.5885158359503895,205.68104007364266,309.8256169789767,64380.16265756686,64146.58838404156,24.9320405214195,0.9767935561264306,121.53485942459986
I00081,0.41579464855141307,0.684486952744529,37.79040288500283,244.7517611895334,153.22644947726735,62327.01845170389,61793.730717206374,24.988369766914822,1.3178366225050084,12.565204736004489
I00082,0.5614174004839613,0.6148490142333504,0.5502937956055652,97.10040187982563,131.80758566700013,65139.957675558406,65059.509782261215,24.914666547362632,1.457655364340949,314.9456771580856
I00083,0.8050814475767767,0.13663114409136706,1.5725142512435193,120.92815649961786,80.87117750939464,64041.63601336959,63913.909695181996,24.898012211860475,0.9324884052361223,220.19609355681507
I00084,0.9699035100633389,0.17933385263553112,3.2548068929803944,315.175212364216,309.4492976662804,66795.7070793933,66337.7371601658,24.93327429139385,1.1818490541837736,8.683935416814734
I00085,0.9322097570264443,0.5360174371282114,1.5536649377593041,32.93162915574659,147.2633220221971,64399.83201141451,64344.53614481492,24.891090538203528,2.009148256039182,340.8627837007291
I00086,0.8025900925178969,0.6722685603792365,10.698119650015272,60.273556227413266,348.8647607215461,62795.87239004149,62726.00091741327,24.958880983844825,2.4489261495528756,342.03031610041626
I00087,0.8289158155909095,0.6319081090388045,8.36870507133769,302.90976345446916,347.2877528702938,63949.49768514077,62724.379342869855,24.910780813526134,2.251926314992618,2.685325842515738
I00088,0.9848805951909464,0.688644979767939,181.76250570959897,184.15577425661718,249.4274379456807,61014.109269377775,60980.84843280306,24.96509470288018,3.1632076928031845,354.1729911186296
I00089,0.7781345654426203,0.7380642880880312,179.9979273875846,43.207054319548234,78.68102530601209,68222.27272919264,66361.93159185257,24.91019627134099,2.9707081931009665,1.898061026913524
I00090,0.8944344476186699,0.41718125881233076,7.4857761799416025,50.75825630355741,361.7751118122193,62443.57401315364,62373.968386467546,24.92631055771758,1.534670017295582,323.9150665073382
I00091,0.7096070664658017,0.16170512855330885,7.0485675168959,178.81351980025028,100.26099998737885,64469.31843078447,64298.32719457429,24.99384692191336,0.8464886171153525,143.60548802025244
I00092,0.9977900359453423,0.45475093757436635,6.065823842174456,19.09109143486179,306.75109838703656,65285.27520225731,65239.113215068355,24.955894885726213,1.8299711172477817,341.62098563654763
I00093,0.9649468381325729,0.3594764415826183,7.971368899828564,24.281745552021935,57.815616586055846,62845.891056393986,62795.52042927453,24.884496442819554,1.5064970295812112,333.1509445230256
I00094,0.8205096871996651,0.6360191341685411,29.083882879998036,302.6932525772301,15.073390473218627,62884.4538199766,61656.97558193281,24.90558452382536,2.2542659909480007,2.554250972202283
I00095,0.9182874563894112,0.18196511753493794,4.940295040746508,298.4728395969025,189.68032146994696,66989.44078199954,66578.61598853255,24.98340764305723,1.1225529327334411,19.55224377201273
I00096,0.9950850423580064,0.6686611749495781,179.99475825832644,336.6003103950532,5.825036983882465,61701.25859239655,61671.25824158313,24.994202941992064,3.003224998478757,354.31868850186174
I00097,0.9601854028745098,0.5206429836056171,3.6527521646506624,328.1284890404152,323.46116453215075,61608.3790032467,61603.976848380174,24.978858711711275,2.00306946604602,358.46952804950257
I00098,0.9830518052758005,0.5088496027207643,4.653397028345706,6.246960401182301,129.91765942762476,63632.00593638734,63596.93926318595,24.994959902257712,2.001529085024647,347.7944941885223
I00099,0.9961163980605682,0.028709740580961915,12.48463408409819,50.26483916047227,215.7968020041394,63032.99942135946,62952.67505876487,24.961266551636392,1.0255599584169406,283.77283329645536
